id;route_id;sec;location_id;lat;lng;description;activity
4397;Shanghai-Liege(South);17;0;52.073400;23.603800;Terespol, Poland;
4398;Shanghai-Liege(South);13;0;53.223700;63.652000;Kostanay, Kazakhstan;
4399;Shanghai-Liege(South);11;0;48.318623;74.980324;Aktogay, Kazakhstan;
4400;Shanghai-Liege(South);10;0;45.256600;82.493100;Dostyk, Kazakhstan;
4401;Shanghai-Liege(South);8;0;43.825592;87.616852;Urumqi, Xinjiang, China;
4402;Shanghai-Liege(South);7;0;42.821594;93.497772;Kumul, Xinjiang, China;
4403;Shilong-Vorsino(North);14;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
4404;Shilong-Vorsino(North);12;0;49.220287;119.754410;Hulun Buir;
4405;Milan-Qingdao(North);9;0;52.073400;23.603800;Terespol, Poland;
4406;Milan-Qingdao(North);19;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
4407;Milan-Qingdao(North);21;0;49.220287;119.754410;Hulun Buir;
4408;Shanghai-Liege(South);1;Shanghai, Shanghai;0.000000;0.000000;Shanghai;P
4409;Xiamen-Kresty(Centre);1;Xiamen, Fujian;24.479790;118.081870;Xiamen;P
4411;Duisburg-Qingdao(North);7;Moscow, Moscow;0.000000;0.000000;Moscow;
4412;Warsaw-Qingdao(North);4;Moscow, Moscow;0.000000;0.000000;Moscow;
4413;Malaszewicze-Qingdao(North);4;Moscow, Moscow;0.000000;0.000000;Moscow;
4414;Xian-Brest(South);9;Moscow, Moscow;0.000000;0.000000;Moscow;
4415;Xian-Warsaw(South);9;Moscow, Moscow;0.000000;0.000000;Moscow;
4416;Zhengzhou-Kolyadichi(Centre);8;Moscow, Moscow;0.000000;0.000000;Moscow;
4417;Warsaw-Zhengzhou(Centre);4;Moscow, Moscow;0.000000;0.000000;Moscow;
4418;Warsaw-Zhengzhou(South);4;Moscow, Moscow;0.000000;0.000000;Moscow;
4419;Saint Petersburg-Zhengzhou(Centre);2;Moscow, Moscow;0.000000;0.000000;Moscow;
4420;Saint Petersburg-Zhengzhou(South);2;Moscow, Moscow;0.000000;0.000000;Moscow;
4421;Kolyadichi-Zhengzhou(Centre);2;Moscow, Moscow;0.000000;0.000000;Moscow;
4422;Guangzhou-Warsaw(North);21;Moscow, Moscow;0.000000;0.000000;Moscow;
4423;Malaszewicze-Chongqing(South);4;Moscow, Moscow;0.000000;0.000000;Moscow;
4424;Malaszewicze-Hefei(Centre);4;Moscow, Moscow;0.000000;0.000000;Moscow;
